,date_time,total_demand,combined_cycle_gas_turbine_generation,oil_generation,coal_generation,nuclear_generation,wind_generation,pumped_storage_generation,nonpumped_storage_hydro_generation,open_cycle_gas_turbine_generation,other_generation,biomass_generation,embedded_solar_generation,embedded_wind_generation,BritNet_flow,total_ma7,detrended_total_ma7
584,2010-06-12,1449100,776200,0,269467,258842,15233,16936,4459,0,0,0,72.0,24831.0,0.0,1625221.142857143,19929.754756003385
585,2010-06-13,1440838,802291,0,234303,267815,4599,18458,4797,0,0,0,52.0,18785.0,0.0,1625252.7142857143,23504.326184574747
586,2010-06-14,1682554,870232,0,452358,267764,3468,14506,4846,31,0,0,57.0,28046.0,0.0,1626254.0,32133.61189886043
587,2010-06-15,1678512,889025,0,425053,267271,1664,23432,4054,0,0,0,84.0,26595.0,0.0,1621533.4285714286,28764.754756003153
588,2010-06-16,1680594,865914,0,433401,271372,1650,13280,4526,0,0,0,97.0,23913.0,0.0,1617568.4285714286,29116.040470289066
589,2010-06-17,1675947,868886,0,428536,273957,3876,23166,4553,0,0,0,100.0,21814.0,0.0,1610562.5714285714,21514.897613145877
590,2010-06-18,1651640,818167,0,462062,262802,10256,14502,3527,42,0,0,52.0,20847.0,0.0,1608455.0,21187.61189886043
591,2010-06-19,1449515,708535,0,289217,269014,21095,11696,3016,0,0,0,66.0,52476.0,0.0,1608514.2857142857,21236.897613145877
592,2010-06-20,1401440,702778,0,269456,281159,6879,13020,3307,15,0,0,90.0,29873.0,0.0,1602886.0,17644.326184574515
593,2010-06-21,1654544,797006,0,494087,285268,1778,19217,2980,0,0,0,91.0,3954.0,0.0,1598884.5714285714,13747.183327431558
594,2010-06-22,1688158,789405,0,501635,289989,6565,10963,3513,0,0,0,101.0,16166.0,0.0,1600262.5714285714,14319.897613145877
595,2010-06-23,1688278,813747,0,473285,280327,11666,17504,4311,0,0,0,94.0,22093.0,0.0,1601360.2857142857,12321.183327431558
596,2010-06-24,1690911,824018,0,491499,279027,14410,15164,3947,0,0,0,72.0,13614.0,0.0,1603498.0,18507.040470288834
597,2010-06-25,1644432,839724,0,448877,281919,1916,11478,4146,7,0,0,77.0,2696.0,0.0,1602468.2857142857,14873.183327431558
598,2010-06-26,1449291,767904,0,271871,278968,7786,15642,3954,916,0,0,91.0,9131.0,0.0,1602436.2857142857,9901.754756003153
599,2010-06-27,1420396,720587,0,259144,277705,21589,13818,3923,0,0,0,98.0,30679.0,0.0,1605144.2857142857,8740.0404702886
600,2010-06-28,1676254,832043,24,450014,280059,15164,18090,4060,0,0,0,107.0,27817.0,0.0,1608245.7142857143,8293.611898860428
601,2010-06-29,1712011,851628,0,495698,291269,4798,17938,5206,0,0,0,89.0,20197.0,0.0,1611653.2857142857,8783.469041717239
602,2010-06-30,1696894,830221,0,494001,286357,9449,10762,4342,0,0,0,93.0,10708.0,0.0,1612884.142857143,6290.754756003385
603,2010-07-01,1712252,835889,0,468653,287904,35333,15770,5151,0,0,0,73.0,51476.0,0.0,1615932.857142857,795.6118988599628
604,2010-07-02,1686172,796888,0,493807,272026,36085,15582,5141,662,0,0,82.0,52860.0,0.0,1621895.7142857143,-1316.9595297111664
605,2010-07-03,1462908,729906,0,296675,264507,32153,13938,4396,248,0,0,101.0,35295.0,0.0,1623841.0,-4870.816672568442
606,2010-07-04,1419118,707260,0,225579,265646,54451,9830,5349,0,0,0,87.0,63538.0,0.0,1623658.4285714286,-4383.959529710934
607,2010-07-05,1648694,823899,0,425266,264203,32838,23892,6975,0,0,0,105.0,38814.0,0.0,1619721.2857142857,-7414.102386854123
